Yıl,Minoan,Hitit,Miken,Mezopotamya,Yunan,Batı Anadolu
-3900,,,,,,"Troia I yerleşimi başlar"
-3500,"Erken Minoan Dönemi başlar",,,,,"Beycesultan kültürü"
-3000,"Saray kültürü gelişir",,,,"Erken Hellas Dönemi",
-2500,,"Hatti kültürü",,,"Proto-Hellas",
-2300,"İlk saraylar inşa edilir",,,,,"Troia II altın hazinesi"
-2000,"Knossos Sarayı",,"Miken kültürü başlar","Ur III Hanedanı",,
-1900,,"Eski Hitit Krallığı kuruluşu",,,,
-1800,"Yeni Saray Dönemi",,,,,"Troia VI inşa edilir"
-1700,,"Hattusili I dönemi",,"Hammurabi Kanunları",,
-1650,"Linear A yazısı",,,,,"Arzawa Krallığı"
-1600,,"Mursili I Babil'i fetheder","Miken mezar çemberleri",,,
-1500,"Thera yanardağ patlaması",,"Miken sarayları","Mitanni Krallığı",,
-1450,"Knossos'un düşüşü",,"Linear B yazısı",,,
-1400,,"Suppiluliuma I dönemi",,"Asur yükselişi",,
-1350,,"Hitit İmparatorluğu zirvesi","Miken genişlemesi",,,
-1300,,"Muvatalli II - Kadeş Savaşı","Troia Savaşı efsanesi",,"Miken kolonizasyonu","Troia VII yıkımı"
-1250,,"Hattusili III barış antlaşması","Miken sarayları yıkılır",,,
-1200,"Minoan medeniyeti sona erer","Hitit İmparatorluğu çöküşü","Miken çöküşü","Deniz Kavimleri istilası",,"Troia VII sonu"
-1100,,,,"Yeni Asur Dönemi","Karanlık Çağ başlar",
-1000,,,,,"Geometrik Dönem","Frigya yükselişi"
-900,,,"Homeros destanları yazıya geçer","Asur genişlemesi",,
-800,,,,,"Arkaik Dönem başlar - Polis devletleri","Lidya Krallığı"
-750,,,,,"İlk Olimpiyat Oyunları",,
-700,,,,,"Hesiodos yazıları","Gyges Lidya kralı"
-650,,,,"Yeni Babil Krallığı","Kolonizasyon hareketi",
-600,,,,"Nebukadnezar II","Solon reformları","Alyattes dönemi"
-550,,,,"Pers İmparatorluğu","Peisistratos tiranlığı","Pers fethi - Kroisos"
-500,,,,"Pers hakimiyeti","Klasik Dönem başlar",
